State,Grade,Standard ID,Standard Text,Project Name,Course Name,Match Rationale
AL,1,DLCS.18.1.1,Classify and sort information into logical order with and without a computer.,0.4 Screen Smarties,CS Adventures with VR,Matched CSTA 0.07; shared tokens information
AL,1,DLCS.18.1.1,Classify and sort information into logical order with and without a computer.,0.5 Click Clever,CS Adventures with VR,Matched CSTA 0.07; shared tokens information
AL,1,DLCS.18.1.1,Classify and sort information into logical order with and without a computer.,0.7 Respecting Others' Work,CS Adventures with VR,Matched CSTA 0.07; shared tokens information
AL,1,DLCS.18.1.1,Classify and sort information into logical order with and without a computer.,1.1 Dinosaur Hero,CS Adventures with VR,Matched CSTA 0.07; shared tokens information
AL,1,DLCS.18.1.1,Classify and sort information into logical order with and without a computer.,1.2 Find the Fish,CS Adventures with VR,Matched CSTA 0.07; shared tokens information
AL,1,DLCS.18.1.1,Classify and sort information into logical order with and without a computer.,1.3 Mail Grab!,CS Adventures with VR,Matched CSTA 0.07; shared tokens information
AL,1,DLCS.18.1.1,Classify and sort information into logical order with and without a computer.,2.1 Animal Rescue,CS Adventures with VR,Matched CSTA 0.07; shared tokens information
AL,1,DLCS.18.1.1,Classify and sort information into logical order with and without a computer.,2.2 Halloween Parade,CS Adventures with VR,Matched CSTA 0.07; shared tokens information
AL,1,DLCS.18.1.1,Classify and sort information into logical order with and without a computer.,2.3 Backyard Dance Party,CS Adventures with VR,Matched CSTA 0.07; shared tokens information
AL,1,DLCS.18.1.1,Classify and sort information into logical order with and without a computer.,3.1 Alien Planet,CS Adventures with VR,Matched CSTA 0.07; shared tokens information
AL,1,DLCS.18.1.1,Classify and sort information into logical order with and without a computer.,3.2 Alphabet Town,CS Adventures with VR,Matched CSTA 0.07; shared tokens information
AL,1,DLCS.18.1.1,Classify and sort information into logical order with and without a computer.,3.3 I Spy,CS Adventures with VR,Matched CSTA 0.07; shared tokens information
AL,1,DLCS.18.1.1,Classify and sort information into logical order with and without a computer.,4.1 The Magic Forest,CS Adventures with VR,Matched CSTA 0.07; shared tokens information
AL,1,DLCS.18.1.1,Classify and sort information into logical order with and without a computer.,4.2 Holiday Fun,CS Adventures with VR,Matched CSTA 0.07; shared tokens information
AL,1,DLCS.18.1.1,Classify and sort information into logical order with and without a computer.,4.3 Passion Project,CS Adventures with VR,Matched CSTA 0.07; shared tokens information
AL,1,DLCS.18.1.1,Classify and sort information into logical order with and without a computer.,5.1 Picnic Party,CS Adventures with VR,Matched CSTA 0.07; shared tokens information
AL,1,DLCS.18.1.1,Classify and sort information into logical order with and without a computer.,5.2 Dinosaur Safari,CS Adventures with VR,Matched CSTA 0.07; shared tokens information
AL,1,DLCS.18.1.1,Classify and sort information into logical order with and without a computer.,5.3 Passion Project,CS Adventures with VR,Matched CSTA 0.07; shared tokens information
AL,1,DLCS.18.1.10,Identify an appropriate tool to complete a task when given guidance and support.,,CS Adventures with VR,No strong match; placed by grade band
AL,1,DLCS.18.1.11,Type five words per minute minimum with 95% accuracy using appropriate keyboarding techniques.,,CS Adventures with VR,No strong match; placed by grade band
AL,1,DLCS.18.1.12,Identify keywords in a search and discuss how they may be used to gather information.,0.10 Scavenger Hunt,CS Adventures with VR,"Matched CSTA 0.10; shared tokens search, information"
AL,1,DLCS.18.1.12,Identify keywords in a search and discuss how they may be used to gather information.,0.4 Screen Smarties,CS Adventures with VR,Matched CSTA 0.06; shared tokens information
AL,1,DLCS.18.1.12,Identify keywords in a search and discuss how they may be used to gather information.,0.5 Click Clever,CS Adventures with VR,Matched CSTA 0.06; shared tokens information
AL,1,DLCS.18.1.12,Identify keywords in a search and discuss how they may be used to gather information.,0.7 Respecting Others' Work,CS Adventures with VR,Matched CSTA 0.06; shared tokens information
AL,1,DLCS.18.1.12,Identify keywords in a search and discuss how they may be used to gather information.,0.9 Google Slides Playground,CS Adventures with VR,"Matched CSTA 0.10; shared tokens search, information"
AL,1,DLCS.18.1.12,Identify keywords in a search and discuss how they may be used to gather information.,1.1 Dinosaur Hero,CS Adventures with VR,Matched CSTA 0.06; shared tokens information
AL,1,DLCS.18.1.12,Identify keywords in a search and discuss how they may be used to gather information.,1.2 Find the Fish,CS Adventures with VR,Matched CSTA 0.06; shared tokens information
AL,1,DLCS.18.1.12,Identify keywords in a search and discuss how they may be used to gather information.,1.3 Mail Grab!,CS Adventures with VR,Matched CSTA 0.06; shared tokens information
AL,1,DLCS.18.1.12,Identify keywords in a search and discuss how they may be used to gather information.,2.1 Animal Rescue,CS Adventures with VR,Matched CSTA 0.06; shared tokens information
AL,1,DLCS.18.1.12,Identify keywords in a search and discuss how they may be used to gather information.,2.2 Halloween Parade,CS Adventures with VR,Matched CSTA 0.06; shared tokens information
AL,1,DLCS.18.1.12,Identify keywords in a search and discuss how they may be used to gather information.,2.3 Backyard Dance Party,CS Adventures with VR,Matched CSTA 0.06; shared tokens information
AL,1,DLCS.18.1.12,Identify keywords in a search and discuss how they may be used to gather information.,3.1 Alien Planet,CS Adventures with VR,Matched CSTA 0.06; shared tokens information
AL,1,DLCS.18.1.12,Identify keywords in a search and discuss how they may be used to gather information.,3.2 Alphabet Town,CS Adventures with VR,Matched CSTA 0.06; shared tokens information
AL,1,DLCS.18.1.12,Identify keywords in a search and discuss how they may be used to gather information.,3.3 I Spy,CS Adventures with VR,Matched CSTA 0.06; shared tokens information
AL,1,DLCS.18.1.12,Identify keywords in a search and discuss how they may be used to gather information.,4.1 The Magic Forest,CS Adventures with VR,Matched CSTA 0.06; shared tokens information
AL,1,DLCS.18.1.12,Identify keywords in a search and discuss how they may be used to gather information.,4.2 Holiday Fun,CS Adventures with VR,Matched CSTA 0.06; shared tokens information
AL,1,DLCS.18.1.12,Identify keywords in a search and discuss how they may be used to gather information.,4.3 Passion Project,CS Adventures with VR,Matched CSTA 0.06; shared tokens information
AL,1,DLCS.18.1.12,Identify keywords in a search and discuss how they may be used to gather information.,5.1 Picnic Party,CS Adventures with VR,Matched CSTA 0.06; shared tokens information
AL,1,DLCS.18.1.12,Identify keywords in a search and discuss how they may be used to gather information.,5.2 Dinosaur Safari,CS Adventures with VR,Matched CSTA 0.06; shared tokens information
AL,1,DLCS.18.1.12,Identify keywords in a search and discuss how they may be used to gather information.,5.3 Passion Project,CS Adventures with VR,Matched CSTA 0.06; shared tokens information
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,0.4 Screen Smarties,CS Adventures with VR,Matched CSTA 0.08; shared tokens online
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,0.6 Digital Citizenship,CS Adventures with VR,Matched CSTA 0.08; shared tokens online
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,0.7 Respecting Others' Work,CS Adventures with VR,Matched CSTA 0.08; shared tokens online
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,0.9 Google Slides Playground,CS Adventures with VR,Matched CSTA 0.07; shared tokens using
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,1.1 Dinosaur Hero,CS Adventures with VR,Matched CSTA 0.08; shared tokens online
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,1.1 Dinosaur Hero,CS Adventures with VR,Matched CSTA 0.07; shared tokens using
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,1.2 Find the Fish,CS Adventures with VR,Matched CSTA 0.08; shared tokens online
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,1.2 Find the Fish,CS Adventures with VR,Matched CSTA 0.07; shared tokens using
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,1.3 Mail Grab!,CS Adventures with VR,Matched CSTA 0.08; shared tokens online
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,1.3 Mail Grab!,CS Adventures with VR,Matched CSTA 0.07; shared tokens using
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,2.1 Animal Rescue,CS Adventures with VR,Matched CSTA 0.08; shared tokens online
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,2.1 Animal Rescue,CS Adventures with VR,Matched CSTA 0.07; shared tokens using
