State,Grade,Standard ID,Standard Text,Project Name,Course Name
CSTA,K-2,1A-IC-16,Compare how people live and work before and after the implementation or adoption of new computing technology.,0.1 Technology Then and Now,CS Adventures with VR
CSTA,K-2,1A-CS-02,Use appropriate terminology in identifying and describing the function of common physical components of computing systems (hardware).,0.2 Exploring the World of CS,CS Adventures with VR
CSTA,K-2,1A-AP-08,Model daily processes by creating and following algorithms (sets of step-by-step instructions) to complete tasks.,0.3 Step by Step Superstars,CS Adventures with VR
CSTA,K-2,1A-AP-11,Decompose (break down) the steps needed to solve a problem into a precise sequence of instructions.,0.3 Step by Step Superstars,CS Adventures with VR
CSTA,K-2,1A-NI-04,"Explain what passwords are and why we use them, and use strong passwords to protect devices and information from unauthorized access.",0.4 Screen Smarties,CS Adventures with VR
CSTA,K-2,1A-IC-17,Work respectfully and responsibly with others online.,0.4 Screen Smarties,CS Adventures with VR
CSTA,K-2,1A-IC-18,"Keep login information private, and log off of devices appropriately.",0.4 Screen Smarties,CS Adventures with VR
CSTA,K-2,1A-NI-04,"Explain what passwords are and why we use them, and use strong passwords to protect devices and information from unauthorized access.",0.5 Click Clever,CS Adventures with VR
CSTA,K-2,1A-IC-18,"Keep login information private, and log off of devices appropriately.",0.5 Click Clever,CS Adventures with VR
CSTA,K-2,1A-IC-17,Work respectfully and responsibly with others online.,0.6 Digital Citizenship,CS Adventures with VR
CSTA,K-2,1A-CS-02,Use appropriate terminology in identifying and describing the function of common physical components of computing systems (hardware).,0.7 Respecting Others' Work,CS Adventures with VR
CSTA,K-2,1A-AP-08,Model daily processes by creating and following algorithms (sets of step-by-step instructions) to complete tasks.,0.7 Respecting Others' Work,CS Adventures with VR
CSTA,K-2,1A-AP-09,Model the way programs store and manipulate data by using numbers or other symbols to represent information.,0.7 Respecting Others' Work,CS Adventures with VR
CSTA,K-2,1A-AP-13,Give attribution when using the ideas and creations of others while developing programs.,0.7 Respecting Others' Work,CS Adventures with VR
CSTA,K-2,1A-AP-15,"Using correct terminology, describe steps taken and choices made during the iterative process of program development.",0.7 Respecting Others' Work,CS Adventures with VR
